,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
521,2934,BitKan,KAN,bitkan,16,2018-07-30T00:00:00.000Z,,6481482166.509794,10000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1410434b0346f5be678d0fb554e5c7ab620f8f4a'}",522,0.00195998933865,1017071.55382928,0.03956588,-8.5989671,7.02502468,12703635.9450093
522,3637,Aergo,AERGO,aergo,21,2018-12-17T00:00:00.000Z,500000000.0,264019889.62140423,500000000.0,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'AERGO-46B'}",523,0.04800599893182,12603752.56602942,-7.34018334,-6.5097144,-7.59946812,12674538.539144365
523,2780,NKN,NKN,nkn,18,2018-05-28T00:00:00.000Z,1000000000.0,583666666.0,700000000.0,,524,0.02157812054811,1250803.82733602,-5.42888344,-9.99731577,17.37345496,12594429.678861458
524,3966,BitcoinHD,BHD,bitcoinhd,14,2019-05-27T00:00:00.000Z,21000000.0,6083016.35,6339465.0,,525,2.04195966023416,13317516.78269097,-4.91541676,-5.36396755,24.3123678,12421273.99924484
525,6597,Meme,MEME,degenerator-meme,13,2020-08-16T00:00:00.000Z,28000.0,28000.0,28000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd5525d397898e5502075ea5e830d8914f6f0affe'}",526,448.97388130847963,3061295.88392965,-1.6721915,-6.07280601,7.59290165,12571268.67663743
526,2675,Dock,DOCK,dock,25,2018-04-25T00:00:00.000Z,,625000889.3089943,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe5dada80aa6477e85d09747f2842f7993d0df71c'}",527,0.02028182469591,10254465.16187713,-6.95820085,5.284555,12.97036899,12676158.471752873
527,2524,Universa,UTNP,universa,5,2018-02-15T00:00:00.000Z,4997891952.0,3160240003.4,4997891952.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9e3319636e2126e3c0bc9e3134AEC5e1508A46c7'}",528,0.00395774598056,121078.72532176,-6.72532846,25.43539507,39.51551374,12507427.17106127
528,6005,Crypto Village Accelerator,CVA,crypto-village-accelerator,20,2020-08-01T00:00:00.000Z,,74163873.54041478,100000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x78a52e12c7b63d05c12f9608307587cf654ec3d0'}",529,0.17161295938698,35746.39895087,-9.64256833,19.25154246,-6.50670007,12727481.817872323
529,5075,Egoras,EGR,egoras,1,2019-12-30T00:00:00.000Z,,65160356358.0,99097732541.23735,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x73Cee8348b9bDd48c64E13452b8a6fbc81630573'}",530,0.00019157979212,0.0,-5.5038203,-7.40127224,30.7745862,12483407.525530761
530,4566,DigitalBits,XDB,digitalbits,7,2019-09-13T00:00:00.000Z,,750998958.0,1500000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb9eefc4b0d472a44be93970254df4f4016569d27'}",531,0.01659615523218,194361.47622769,-5.87959359,-5.37087995,43.28608738,12463695.286173427
531,99,Vertcoin,VTC,vertcoin,13,2014-01-20T00:00:00.000Z,84000000.0,57846047.0,57846047.0,,532,0.21980828985363,627351.50472458,2.10942795,8.22827653,36.14277825,12715040.665862704
532,6180,SUKU,SUKU,suku,7,2020-08-04T00:00:00.000Z,,80535508.83309507,1500000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7'}",533,0.15367743482939,377362.90615255,-3.07878201,-4.90810962,4.1355235,12376490.41014973
533,2213,QASH,QASH,qash,25,2017-11-21T00:00:00.000Z,,350000000.0,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6'}",534,0.03512093966191,867531.33943457,-8.72584198,-11.04374734,-5.8429988,12292328.8816685
534,5,Peercoin,PPC,peercoin,17,2013-04-28T00:00:00.000Z,,26698426.34352635,26698426.34352635,,535,0.45990401427699,145669.88229768,-3.88868924,-11.02923013,25.20581516,12278713.450266307
535,6365,Bounce Token,BOT,bounce-token,12,2020-08-07T00:00:00.000Z,100000.0,29500.0,100000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5beabaebb3146685dd74176f68a0721f91297d37'}",536,417.0683906187537,5856585.43960526,-1.07602257,-4.00806659,-15.99172203,12303517.523253234
536,3458,ZBG Token,ZT,zbg-token,5,2018-10-17T00:00:00.000Z,,264015941.57215723,500000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xfe39e6a32acd2af7955cb3d406ba2b55c901f247'}",537,0.04590373939348,5325028.05216718,-0.80448873,-5.65211432,-4.02041137,12119318.977652548
537,2553,Refereum,RFR,refereum,11,2018-03-01T00:00:00.000Z,,4999180100.0,4999650000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd0929d411954c47438dc1d871dd6081f5c5e149c'}",538,0.00241716513993,1377.76536427,-2.17039721,-16.83462954,-36.41139132,12083843.86595177
538,2868,Constellation,DAG,constellation,7,2018-06-20T00:00:00.000Z,,1266911931.0440836,3711998690.36,,539,0.00943501822221,1505596.08757871,-2.93188524,45.40533114,19.65844409,11953337.155336188
539,5224,Juventus Fan Token,JUV,juventus-fan-token,6,2020-04-22T00:00:00.000Z,,1315932.0,20000000.0,"{'id': 4066, 'name': 'Chiliz', 'symbol': 'CHZ', 'slug': 'chiliz', 'token_address': '0x14a5750b0e54b57d12767b84a326c9fe59472da5'}",540,9.04445449244583,177714.34704373,-11.17209223,-13.62047315,-19.50274127,11901887.089153226
540,3946,Carry,CRE,carry,11,2019-05-17T00:00:00.000Z,,6252555376.452999,8278060037.353591,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x115eC79F1de567eC68B7AE7eDA501b406626478e'}",541,0.0019062273312,263691.99459976,-1.43445821,-9.67718002,5.10809686,11918791.948436212
